Connecting to E4:E3:EA:21:F7:C4
Connected
model=MetaWear C
Stream started
{'epoch': 1515034430020L, 'value x': -0.52685546875, 'value y': 0.10498046875, 'value z': 0.828125}
{'epoch': 1515034430027L, 'value x': -0.5263671875, 'value y': 0.10595703125, 'value z': 0.8291015625}
{'epoch': 1515034430035L, 'value x': -0.5263671875, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034430050L, 'value x': -0.52392578125, 'value y': 0.10400390625, 'value z': 0.8271484375}
{'epoch': 1515034430058L, 'value x': -0.52392578125, 'value y': 0.10302734375, 'value z': 0.82763671875}
{'epoch': 1515034430065L, 'value x': -0.52685546875, 'value y': 0.10400390625, 'value z': 0.8291015625}
{'epoch': 1515034430080L, 'value x': -0.5263671875, 'value y': 0.10498046875, 'value z': 0.83251953125}
{'epoch': 1515034430087L, 'value x': -0.52392578125, 'value y': 0.10595703125, 'value z': 0.83203125}
{'epoch': 1515034430095L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.83154296875}
{'epoch': 1515034430110L, 'value x': -0.5244140625, 'value y': 0.10400390625, 'value z': 0.8291015625}
{'epoch': 1515034430117L, 'value x': -0.52392578125, 'value y': 0.1044921875, 'value z': 0.83056640625}
{'epoch': 1515034430125L, 'value x': -0.5244140625, 'value y': 0.10546875, 'value z': 0.8330078125}
{'epoch': 1515034430140L, 'value x': -0.5263671875, 'value y': 0.1015625, 'value z': 0.8291015625}
{'epoch': 1515034430147L, 'value x': -0.52587890625, 'value y': 0.10400390625, 'value z': 0.82763671875}
{'epoch': 1515034430155L, 'value x': -0.5263671875, 'value y': 0.10546875, 'value z': 0.8291015625}
{'epoch': 1515034430170L, 'value x': -0.5224609375, 'value y': 0.1044921875, 'value z': 0.82861328125}
{'epoch': 1515034430177L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034430185L, 'value x': -0.5263671875, 'value y': 0.1044921875, 'value z': 0.833984375}
{'epoch': 1515034430200L, 'value x': -0.5234375, 'value y': 0.1044921875, 'value z': 0.83056640625}
{'epoch': 1515034430207L, 'value x': -0.52490234375, 'value y': 0.103515625, 'value z': 0.82958984375}
{'epoch': 1515034430215L, 'value x': -0.5244140625, 'value y': 0.1064453125, 'value z': 0.830078125}
{'epoch': 1515034430230L, 'value x': -0.5234375, 'value y': 0.103515625, 'value z': 0.83203125}
{'epoch': 1515034430237L, 'value x': -0.5244140625, 'value y': 0.1025390625, 'value z': 0.83251953125}
{'epoch': 1515034430245L, 'value x': -0.52734375, 'value y': 0.10205078125, 'value z': 0.83154296875}
{'epoch': 1515034430260L, 'value x': -0.52587890625, 'value y': 0.1044921875, 'value z': 0.8330078125}
{'epoch': 1515034430267L, 'value x': -0.52685546875, 'value y': 0.10595703125, 'value z': 0.830078125}
{'epoch': 1515034430275L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.8291015625}
{'epoch': 1515034430290L, 'value x': -0.525390625, 'value y': 0.103515625, 'value z': 0.830078125}
{'epoch': 1515034430297L, 'value x': -0.52685546875, 'value y': 0.10400390625, 'value z': 0.82958984375}
{'epoch': 1515034430305L, 'value x': -0.525390625, 'value y': 0.10595703125, 'value z': 0.8310546875}
{'epoch': 1515034430321L, 'value x': -0.52587890625, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034430327L, 'value x': -0.5263671875, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034430335L, 'value x': -0.52587890625, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034430350L, 'value x': -0.5263671875, 'value y': 0.10302734375, 'value z': 0.83154296875}
{'epoch': 1515034430357L, 'value x': -0.52685546875, 'value y': 0.10400390625, 'value z': 0.83251953125}
{'epoch': 1515034430365L, 'value x': -0.52392578125, 'value y': 0.10498046875, 'value z': 0.830078125}
{'epoch': 1515034430380L, 'value x': -0.5244140625, 'value y': 0.10400390625, 'value z': 0.830078125}
